단어,포함된 문장
쓰니님,"쓰니님, 20대초반이고 아직 돈을 안번다면할아버지 유고시에 집을 유지는 어찌하나요?매년 재산세도 나오고, 관리비(전기,수도,가스...)도 발생하쟎아요?님 앞으로 받을려고 하는것만이 능사는 아닙니다.상속세,취득세도 대출받아야 하지 싶은데, 소득없으면 집담보로 대출 안됩니다.어영부영하다가 할부지 가시면, 현금이 없어서 경매처리될수도~"
안녕즈,아이브 안녕즈 별로 안친한것 같음..
안녕즈,아이브 안녕즈 별로 안친한 것 같음다이븐데 사람들이 하도 친하다 각별하다 그래서자컨 봤는데 오히려 레이랑 안유진이랑 친하고 원영이랑은 별로..오히려 둘이 프듀랑 아이즈원때 친했던 것 같음까는게 아니라 분명 아이브 초반까지만 해도 친한게 보였는데 요즘은 안보여서 팬으로써 조금 슬프기도 하고 좀 씁쓸..최근에는 안녕즈 꽃다발 만들기도 나왔는데 딱히 둘이 엄청 친해서 같이 하기보단 그냥 각자 꽃다발 만들기에만 집중하는 것 같았음 불량도 엄청 안나오고 긁을대로 긁어서 쓰셨던데 안녕즈 팬으로써 요즘 너무 슬픔 불화설 까진 아니지만 조금 서먹? 총정리 하자면 막 엄청 친한것도 아니고 안친한 것도 아닌 그런사이 같음님들생각은 어떰?+다들 하는 얘기 들어보니까 이제 알겠어내 자신을 팬이라 하기 부끄럽다..좀더 말을 조심했어야하는데 그냥 철없이 둘이 안친해서 아쉽다 이딴 글 쓰고있다니 이제 글 내릴게.!
안녕즈,안녕즈 사이 이간질 안통한다고 몇번을 말하니 하긴 학습능력이 없으니 정병짓이나 하는거겠지 ㅎ
안녕즈,안녕즈 이젠 언니동생 하는 멤버말고 가족처럼 보임 상 받은 후에 원영이 눈 마주치자마자 유진이 울상 짓는거 ㄹㅇㅜㅜ 
안녕즈,진심으로 아이브 최근 영상 몇개만 봐도 안녕즈 뿐만 아니라 어느 멤버랑도 불화설 절대 못터뜨리는데 ㅋㅋㅋㅋㅋㅋㅋ 그냥 죄다 지들 피셜로만 처 씨부리고 다니니..ㅋㅋㅋ
안녕즈,안녕즈가 자컨이나 뭐나 팀하면 밸런스가 안맞아서 무조건 떨어뜨려놓긴함ㅋㅋ큐ㅠ 이움짤나온 자컨도 안녕즈가 밸런스안맞게 이기긴해서.. 그래도 안친한건 아님 데뷔초부터 안좋은얘기 많아서 원영이는 좀 기를 쓰고 친목 절대 안하는타입같아 
알수도,대박 정상이 없넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ단독주택 가서 살라고? 좀 참신한거 없음? 맨날 똑같냐 어떻게단독주택을 권한다면 매일 매일 연기피우면서 시간 못가리고 고기 생선 구워먹는쪽이 단독주택 사는게 맞지 않음?요새 문해력 딸리는것들 많다더니 글은 제대로 읽었냐?요리할때만 냄새나는줄 아는 저능아들..할말하않문을 왜 여냐고? 내집에서 환기도 못시킴?ㅋㅋㅋㅋ빨래도 못널음?ㅋㅋㅋㅋㅋㅋ건조기 있으면 빨래 널일이 없는줄 아는거 어이없네살림을 해봤어야 알지.. 부모 집 얹혀살면서 살림 한번 해본적 없는 백수들은 그냥 입닫아....워시타워 있고 공청기 방마다 있으니까 걱정말고식사시간 피해서 환기를 시키라고?아침 점심 저녁으로 냄새 올라오고 심지어 자정에도 삼겹살을 구워먹는데 그럼 뭐 새벽 3-4시에 환기 시켜야 하나?꼭 당해봐야 아는 능지 낮은것들이 입만 살아서^^아니면 외식할돈 없어서 베란다에서 고기구워먹는 거지들인강ㅋㅋㅋㅋㅋ좀 사먹어...짠하다이래서 돈벌어야함ㅋㅋㅋㅋㅋㅋㅋㅋ하향평준화 쩐다 진짜니네가 그렇게 싫어하는 짱개스럽다 진짴ㅋㅋㅋㅋㅋ정말 요새 다들 여유가 없구나난 부모님과 함께 살때도 부모님께서 늦은밤엔 고기 못구워먹게 하셨어문닫고 구우면 가족한테 피해고문열면 다른집한테 피해준다고난 이게 기본이라고 생각하고 살아왔거든?뭐 이런 기본적인 가정교육 안받았으면 어쩔수 없긴한데내 집이니까 뭘 하던 내 자유! 이건 진짜 ㅎㅌㅊ 인생 아니냐부들부들대면서 냄새가 싫으면 단독주택가 빼액하면단독주택 가야하는구나 쭈글..하길 바랬나본데댓글중 본인힘으로 독립해서 경제활동하며 자가 사는 사람 몇이나 될까?내가 아랫집가서 살인을 한대? 불판을 부셔버린대?난 이런경우 처음이니까 겪은사람 있냐고 물은거잖아대체 여기서 건조기 공청기 얘기가 왜나오는거야..?그럼 건조기 공청기 없는 사람들은 담배냄새 올라와도 참아야겠네? 내 집에서 내가 담배피는건 내 자유잖아? 불법 아니잖아어떻게 이렇게까지 날이 설 수 있는거지....진짜 다 그지들인가보다 싶다난 이렇게 살아가지 말아야지이사한지 보름 됐습니다다른게 아니라 밑에 집에서정말 매일매일매일 아침 점심 저녁고기랑 생선을 구워먹어요복도식아파트라 현관문 베란다 창문 열어두면바람 슝슝 통하는 구조인데도 엄청 심하게 냄새가 올라와요베란다에 널어둔 빨래에도 냄새 다 배고어제 날이 선선해서 베란다 문열고 방창문 열고잤는데새벽 한시에 방안에서 삼겹살 냄새가 나더라구요오늘은 아침에 일어나서 환기시키려고 베란다문 열어뒀는데씻고 나오니 온집안에 생선냄새가 진동을해요밥해먹는거 자유이고 뭘먹던 자유인거 아는데30년 넘게 살며 이렇게 매일매일 아침저녁으로다른집 냄새가 심하게 나는건 처음이에요환기를 시킬수도 빨래를 널수도 문을 열고 잘수도 없어요여기가 통풍이 안되는 구조도 아니고바람이 정말 잘 통하거든요제생각에 냄새의 정도로 봤을때 아랫집이 부엌이 아니라 베란다에서 구워먹는것같아요정말 우리집에서 해먹는 냄새가 나요이번집 이사오기 바로전에도 복도식아파트였고음식냄새가 나긴했지만 창문을 못열거나빨래에 냄새가 밸정도는 아니었거든요근데 아랫집 어디에서 올라오는 냄새인지 정확히 알수도 없고안다고 해도 먹는걸로 뭐라하기도 뭐라하고와 진짜 이런걸로 스트레스를 받을수도 있네요저같은 경험 하신분 계실까요이거 어떡해야할까요층간악취때문에 미치겠습니다ㅠㅠ 
알유넥스트,"하이브 연생 대상 서바이벌 <알유넥스트>최종투표 1~2위는 자동 데뷔, 추가 4명은 소속사가 선발하이브 레이블 빌리프랩 소속으로 내년 초 정식 데뷔막방으로 확정된 데뷔 멤버 6인   원희 07.06.26최종투표 1위 영서 05.11.13최종투표 2위 민주 04.05.11최종투표 3위, 소속사 선택 이로하 08.02.04최종투표 5위, 소속사 선택 모카 04.10.08최종투표 8위, 소속사 선택 윤아 04.01.15최종투표 7위, 소속사 선택  얼굴 합은 잘 맞는 것 같아 데뷔하게 된 거 ㅊㅋㅊㅋ  "
애보라,쓴이 10대임?? 제이쓴이 엄마고 홍현희가 아빠라고 보면 이해감?? 모든 아빠들도 일 하지 말라하고 애보라고 하면 잘봐. 특히 90년대생들은.
앤톤,원빈 앤톤이라고 이 둘은 절대 안 바뀜 2군 싸움이 치열할 뿐이지 반박시  
앤톤,앤톤은 얼굴보다 피지컬이 다 한듯
앤톤,라이즈 첨 떴을때 원빈 앤톤 저 둘만 눈에 들어옴 판에서 거의 매일 톡선에 가는 것도 쟤 둘말고 더 있냐 ㅋㅋㅋㅋ
앤톤,앤톤 나만 개호감임???
앤톤,"라이즈 틱톡계정 챙겨보는데 최애될거같음 진심앤톤이가 브이로그?라고 영상찍고 후시녹음하고 편집해서 올려준 영상 있는데 진짜 개귀여움...영어로 뭐라뭐라 설명하는데 목소리 진짜 ㅅ ㅂ 졸귀이런거 자진해서 찍어주는돌 첨봄ㄹㅇ그리고 먼 어릴때 찍은 인터뷰?그거보면지금이랑 달라진게 하나도 없던데 애교도 원래 많았던거같음 비게퍼가 아니라,,걍 진짜 무해한인간같음 귀여운 쿼카ㅜㅜㅜㅜ "
앤톤,앤톤 자꾸 눈이감..
앤톤,앤톤 이미 인기 엄청남….ㄱㅇㅇ
앤톤,라이즈 둘이나 터지고 앤톤 영업에 사활을 건 느낌인데 문제는 글에서 올려치는 정도로 전혀 덕몰이 상이나 존잘로 보이지 않음 앤톤 글 거의 스팸처럼 올리던데 인위적이라고 느껴서 거부감 들어
여섯명,첫무대 한거보고 바로 딱 민주 영서 지민 윤아 정은 혜원 여섯명 픽 했었음 막방에 그중 다섯명 올라갔는데 3명밖에 데뷔 못한거 넘 아쉽ㅠㅠ
영원럽, 나 영원럽 개좋아하는데 공동1위라니 들어볼게
영원럽,오해가 있는 것 같아서 설명하자면 영원럽이 워낙 명곡이라 애들도 다 좋아했어서 영원럽만큼 좋다 이 표현이지 영원럽이랑 비슷한 느낌의 곡은 아님! 
영원럽,영원럽같은 곡이면 울거임ㆍㆍ
올드머니룩, 토즈 너무 좋음... 요즘 올드머니룩 유행인데 토즈는 옛날부터 뚝심있게 올드머니╋로고리스 추구해왔던 것도 그렇고 찾아보니까 앰버서더 엄청 신경쓰고 아껴주는 것 같음. 조이보면 컴백이나 생일이나 이벤트 있는 날이면 케이크에 편지에 디렉터가 자체제작 이름 박힌 백 선물해주고 한국 담당자랑 사적으로도 친해서 같이 놀러다니는 것 같던데 토수종의 기운이...느껴짐.. 정우도 앰버서더 됐다는 게시물에 팬들이 축하댓글 다니까 토즈 공계가 하나씩 좋아요 눌러주고 있던데 토즈패밀리 진심 호감됨ㅋㅋㅋㅋ 앞으로 정우랑 뭐할지 엄청 기대된다 
올리지, 누나랑 거의 연 끊었다는 부분에서 걸러야 됩니다. 정신 못 차리고 결혼해서 나중에 후회된다는 글 올리지나 마세요.
올챙,이게 왜 주작이야 충분히 가능성있어. 시부모 집에서 밥먹었는데 장염이 5개월감. 반찬 싸줄떄 보니까 지들이 처먹던거 젓가락 다 닿은거 나한테 주는거였어. 그리고 나머지 침이 뒤섞인 반찬은 그대로 냉장고에 넣더라. 남편배가 올챙이 배처럼 볼록하거든? 내생각엔 헬리코박터균이 가득할거같더라. 그때이후로 남편이랑 키스도 안함 ^^
윈터버블,윈터버블영업 ㄹㅇ사기수준임
윈터버블,윈터 아까부터 버블 수십개 보내고 있는데?ㅋㅋ 사진도 많이 보내주고 윈터버블 안하는년이 까려고 애쓰네 버블 영업한거 본적도 없는데
윤정부,윤정부 라인중에 제대로 된 놈 봤냐?
인따,나는 저런 연예인 실물짤들에서 공통으로 느껴지는얼굴이 작으면서 얼굴라인이 샥 가늘어 그 샥 가늘어지는 브이라인따라 스르륵 드러나는 목라인이 딱 전체적으로 얼굴이 ㅈㄴ 짝은게 강조되고 실물이 대박이다.. 느껴지는 그게 있는 거 같음 웬만한 요즘 예쁘다하는 젊은 연예인들의 모든 실물 샷을 보면서 느끼는 공통점임...관리되서얼굴이 샥 들어가면서 개짝고 그게 고운 목라인으로까지 이어진 그 느낌이일반인에서는 잘 없는 아우라를 만드는 거같음
인스스,나 화장시키고 싶다고 해서 놔뒀더니 이꼬라지로 한거봐ㅋㅋㅋ 진심 핰ㅋㅋㅋㅋ 이와중에 친구가 지는 맘에든대 요즘 인스스 하기 빡세다 
인스스,대가리가 있는년이면 음침하게 지친구 인스스 캡쳐해서 판에 올리진 않았겠지 본인사진이라고 예상하는댓글 있어서 하는말인데 본인도 아닐 확률도 높고 어디 팔로우 1~2만쯤되는 인스타녀 캡쳐해서 올렸을 확률 농후함
인스스,인스스=인터넷 스터디 스타?
자컨,아이브 안녕즈 별로 안친한 것 같음다이븐데 사람들이 하도 친하다 각별하다 그래서자컨 봤는데 오히려 레이랑 안유진이랑 친하고 원영이랑은 별로..오히려 둘이 프듀랑 아이즈원때 친했던 것 같음까는게 아니라 분명 아이브 초반까지만 해도 친한게 보였는데 요즘은 안보여서 팬으로써 조금 슬프기도 하고 좀 씁쓸..최근에는 안녕즈 꽃다발 만들기도 나왔는데 딱히 둘이 엄청 친해서 같이 하기보단 그냥 각자 꽃다발 만들기에만 집중하는 것 같았음 불량도 엄청 안나오고 긁을대로 긁어서 쓰셨던데 안녕즈 팬으로써 요즘 너무 슬픔 불화설 까진 아니지만 조금 서먹? 총정리 하자면 막 엄청 친한것도 아니고 안친한 것도 아닌 그런사이 같음님들생각은 어떰?+다들 하는 얘기 들어보니까 이제 알겠어내 자신을 팬이라 하기 부끄럽다..좀더 말을 조심했어야하는데 그냥 철없이 둘이 안친해서 아쉽다 이딴 글 쓰고있다니 이제 글 내릴게.!
자컨," 그냥 이제 가족같은거지. 믿는구석, 든든한 동료. 둘이 친한모습 보이거나 둘만 놀면 다른멤버들 따시킨다고 악플올라올거 아니까, 자컨보면 둘이 든든하게 끌고가고 되도록 다른편하면서 다른멤버들 분량 만들어주는거 보기좋음."
자컨,안녕즈가 자컨이나 뭐나 팀하면 밸런스가 안맞아서 무조건 떨어뜨려놓긴함ㅋㅋ큐ㅠ 이움짤나온 자컨도 안녕즈가 밸런스안맞게 이기긴해서.. 그래도 안친한건 아님 데뷔초부터 안좋은얘기 많아서 원영이는 좀 기를 쓰고 친목 절대 안하는타입같아 
자컨,"근데 얘 성격이 진짜 말랑하고 좋음.. 자컨 몇개 봤는데 맏형이라 멤버들 잘 챙기고 장난 잘 받아주고 우쭈쭈 해주는데 멘탈 쎄고 감정기복 없음,, 공감 잘하는 t의 정석임"
잼리퍼블릭,"리더 계급 마지막으로 커스틴이랑 춤 추고나서 평가할 떄 멀리서 둘이 따봉 날리고 격려하고 있던데 걍 그런 인성이 마음에 듦. 갠적으로 베베, 잼리퍼블릭, 울프 멤버들이 맘에 듦. 울프는 첨엔 기빨리는 이미지라 별로였는데 생각보다 웃긴 캐릭터들이고 베이비슬릭 춤추는거 멋있고, 리더 멋진 춤 추고싶다 소신발언 한것도 멋있었음. 커스틴은 뭐 1화부터 상대방 존중하는 모습 존멋이었고, 바다도 실력 좋고, 착함."
저연차,고인물 많고 저연차 없는 회사
저작권법위반죄,"아이유 고발건 각하결정났대 정병들 고소나 쳐먹길  EDAM 엔터테인먼트입니다. 올해 5월경 성명불상자가 소속 아티스트 IU(본명 이지은, 이하 아티스트)를 저작권법위반 혐의로 고발한 사건에 대해 당사 법률대리인 법무법인(유한) 신원으로부터 해당 사건의 전체 경위 및 결과, 향후 법적 대응에 대한 내용이 담긴 보도자료 전문을 전달받아 유애나 여러분에게 공지합니다.  상세 내용 하단 참고 부탁드립니다.   가수 아이유(이하 ‘아티스트’라고 합니다)의 법률 대리를 맡은 법무법인(유한) 신원입니다.먼저, 성명불상자가 2023년 5월 경 아티스트를 저작권법위반 혐의로 고발하였던 사건(이하 ‘이 사건’이라고 합니다)에 대하여 8월 24일자로 각하 결정이 이루어졌음을 알려드립니다.이에, 당 법무법인은 다음과 같이 이 사건의 개요 및 문제점, 그리고 향후 대응 계획에 대하여 말씀을 드리고자 합니다. 1. 이 사건의 경위 아티스트는 지난 2023년 5월 10일 언론 보도를 통해 자신이 6개 음악저작물의 저작권을 침해하였음을 이유로 저작권법위반죄에 해당한다는 취지의 고발장이 서울 강남경찰서에 접수되었다는 소식을 접하였습니다. 본 법무법인은 5월 10일 즉시 고발장 정보공개청구를 진행하고, 5월 12일에 고발장 사본을 확보하여 고발의 취지와 그 내용을 파악할 수 있었습니다. 이후, 본 법무법인은 5월 15일 변호인 의견서를 제출한 것을 비롯하여 총 4회에 걸쳐 의견서를 제출하며 이 사건 고발이 법률상 근거도 갖추지 못한 것임을 강력하게 주장하였고, 결국 수사기관은 8월 24일 고발 사실이 범죄를 구성하지 않음을 이유로, “각하” 결정을 내렸으며, 본 법무법인은 8월 30일 수사결과통지서를 정식으로 수령하였습니다. 2. 이미지 훼손만을 목적으로 한 악의적인 고발에 대한 규탄의 필요성 본 법무법인은 8월 24일자 각하 결정에 맞추어, 아티스트와 함께 이 사건 고발의 문제점을 지적하고, 악의적인 고발 행태 및 아티스트를 향한 집단적이고 폭력적인 행위에 대하여 강력히 규탄하고자 합니다. 무엇보다 이 사건 고발인은 아티스트가 6개의 곡을 표절(저작권 침해)했다는 취지로 아티스트를 고발하였습니다. 그러나 이 사건은 고발인이 저작권법을 제대로 이해하지 못하였거나, 혹은 저작권법 규정을 이해하였음에도 단지 아티스트를 괴롭히기 위하여 악의적으로 강행한 사건에 불과합니다. 저작권법상 저작권 침해가 인정되기 위해서는, 어떤 저작자가 기존에 존재하는 다른 저작자의 창작물을 허락 없이 이용하여 그와 실질적으로 유사한 결과물을 창작해야 합니다. 즉, 고발인이 저작권 침해를 주장하는 것이라면, 무엇보다 최소한의 요건으로 6개 곡의 창작 행위(작곡)에 아티스트가 참여했다는 사실이 전제되어야만 하는 것입니다. 누구나 간단한 인터넷 검색을 통해 고발 대상이 된 6개 곡의 작곡가를 조회할 수 있으며, 이로써 그 중 5곡은 아티스트가 해당 곡을 창작한 작곡가가 아님을 명백하게 확인할 수 있습니다. 아티스트는 6곡 가운데 1곡의 작곡에만 참여하였는데, 해당 곡의 경우에도 고발인이 이 사건을 통해 저작권 침해를 문제 삼았던 부분은 아티스트가 참여한 파트가 아닙니다. 본 법무법인은 이러한 사실에 대한 증빙자료를 수사기관에 제출하였으며, 그에 따라 수사기관이 각하 결정을 내린 것임을 말씀 드립니다. 고발인은 저작권법상 작곡자가 아닌 아티스트가 관련 저작권 침해 분쟁의 당사자가 될 수 없음에도 불구하고 악의적인 고발을 진행하였습니다. 그리고, 아티스트가 이를 인지하기도 전에 언론을 통해 이 사건에 대한 내용이 먼저 유출, 보도되었고, 이후 ‘아이유 표절 의혹 고발’과 같은 제목으로 수백 여건의 언론 보도가 쏟아져 나오기에 이르렀습니다. 본 법무법인은 고발인의 이번 고발 행위가 최소한의 법률적인 요건과 근거도 갖추지 못한 채, 아티스트의 명예를 실추하고 정신적 고통을 주고자 한 행위 그 이상도 이하도 아니라고 판단합니다. 나아가 수사기관의 이번 각하 결정은 앞서 이 사건이 어떠한 법률적 요건도 갖추지 못한 채 악의적으로 이루어진 것임을 증명하는 것이며, 고발인을 비롯해 익명성을 이용하여 아티스트가 실제로 창작에 관여하지 않은 곡들에 대한 표절 혹은 저작권 침해 논란을 부추기는 주장들이 얼마나 터무니없고 악의적인 행위인지 명백하게 확인해주는 결과라 할 것입니다. 3. 이 사건 외에도 수년 째 이어지는 특정 무리들의 노골적이고 악랄한 사이버 불링(Cyber Bullying) 본 법무법인이 확보한 각종 제보 및 증빙자료 등에 의하면, 특정 무리들은 수년 전부터 아티스트를 조롱하고, 인격적 모욕을 가하며 괴롭히기 위한 목적으로 여러 이슈를 생산 및 유포해 온 것으로 확인됩니다. 이들은 갖가지 억측을 통한 ‘간첩설’, ‘대장동 주인’과 같은 허위 루머의 양산, 인신공격적 발언을 해왔으며, 지난해부터는 아티스트에게 가장 중요한 창작 영역에 대해서도 아티스트의 명예를 훼손하고자 이른바 ‘짜깁기 콘텐츠’를 생산하여 온라인 상에 게시하는 등 표절 논란을 부추겨 왔습니다. 위와 같은 무리의 소행에 유튜브, SNS, 블로그 등에서 이른바 ‘사이버 렉카(Cyber Wrecker)’의 행위까지 더해지면서 진위 여부에 대한 확인이나 검증도 없이, 자극적인 내용의 허위 정보가 확대, 재생산 되었으며, 이는 또 다시 인터넷상에서 불특정 다수가 아티스트를 집단적으로 괴롭히는, 이른바 ‘사이버 불링(Cyber Bullying)’으로 이어졌습니다. 그 결과, 아티스트 본인이 작곡하지 않은 곡까지 아티스트에게 해명을 요구하고, 심지어 아티스트의 곡 발표 이후에 나온 곡을 아티스트가 표절했다는 기묘한 주장까지 등장하였습니다. 이들은 악곡의 코드가 명백히 다른데도 불구하고 음의 길이나 키를 조작하여 비슷하게 들리는 몇 초 구간을 반복 편집하고, 자신들이 유사성을 제기한 곡의 작곡가에게 문의까지 하여 ‘억지 논란’을 부추기기도 하였습니다. 나아가 ‘표절로 보이지 않는다’는 작곡가의 답변을 받은 경우조차, 자신들이 악의적으로 편집하여 만들어 낸 ‘억지 논란’에 대해 아티스트가 해명해야 된다는 식의 주장을 이어갔습니다. 앞서 설명 드린 바와 같이, 어떠한 음악에 대한 이른바 ‘표절’ 문제가 발생할 경우, 필연적으로 저작권을 침해 당했다고 주장하는 작곡가 A와 후속곡을 창작한 작곡가 B 사이에 실제로 B가 A의 곡을 베껴서 창작한 것인지에 대한 논쟁과 논의가 이루어지는 것이 논리적인 순서라고 할 것인데, 아티스트를 둘러싼 ‘표절 시비’ 논란에서는 가창자인 아티스트에게만 비방 및 공격만이 이루어지고 있을 따름입니다. 최근까지도 지속적인 법적 조치를 토대로, 일부 악플러들에 대한 처벌이 계속 이루어지고 있으나, 이들 무리의 악랄한 괴롭힘은 ‘공익’이라는 미명 하에 더욱 교묘해지며 심각해지는 양상을 띠고 있습니다. 본 법무법인은 이 사건 고발 행위 역시 위와 같은 일련의 사태들과 무관하지 않은 것으로 판단하고 있으며, 이들에 대해 수집한 자료들을 수사기관에 전달하여, 다른 고소 사건과의 연관성 내지 공모 관계에 대해서도 적극 수사하여 줄 것을 요청하였습니다. 대중들을 현혹하고, 귀중한 언론 지면을 낭비하게 하는 이러한 행위는 최근 사회적으로도 심각성을 야기하고 있는 ‘사이버 불링’으로서, 아티스트에 대한 맹목적인 괴롭힘에 해당함이 명백한 바, 이러한 노골적이고, 잔인한 괴롭힘을 이제는 멈추어야 합니다. 4. 귀중한 수사 인력의 낭비 등에 따른 책임 촉구 본 법무법인은 단순히 누군가를 괴롭히기 위한 목적으로 사법제도를 악용하고 수사기관의 귀중한 수사인력마저 낭비하게 한 이 사건에 대해 엄중한 책임이 뒤따라야 한다는 입장을 명확히 밝힙니다. 이에, 차후 이러한 무분별한 고발을 방지하기 위하여 수사기관에서는 이 사건 고발인의 무고죄 성립 여부에 대하여 적극적으로 인지 수사를 진행하여 줄 것을 촉구하는 바입니다. 이와 함께 고발인이 이 사건으로 문제를 삼은 곡들의 작곡가들 역시 고발인의 몰지각한 행위로 인해 큰 충격을 받았으며, 고발인을 허위사실 적시에 따른 명예훼손 혐의로 고발하는 등 법률적 조치를 취하기 위한 방법을 강구 중에 있다고 전해 왔음을 알려드립니다. 본 법무법인은 현재 아티스트에 대한 악성 루머 및 게시글을 작성, 배포하고 있는 다수의악플러를 대상으로 한 추가 형사 고소를 준비 및 진행 중에 있으며, 이 사건 고발과 관련한 민사 소송 및 형사 고소 역시 빠른 시일 내 접수 및 진행 예정입니다. 앞으로도 본 법무법인이 보유하고 확보한 제보 내용 및 자료들을 바탕으로 일련의 악의적인 괴롭힘의 근원이 되고 있는 '사이버 불링'과 같은 폭력적이고 불법적인 행위를 묵과하지 않을 예정임을 말씀 드립니다. 감사합니다. "
정카,정카이... 설렌다
제베원,굿즈 포카 여러종 끼워팔아서 그걸 음반판매량으로 둔갑시키거잖아 시디는 1종만 발매하게 해야되고 굿즈 포카판매량 따로 집계해서 음반판매량에 포함 시키지말고음반판매량 = 포카 굿즈판매량이잖아시디는 1종만 취급해야함 법으로 규정좀 했으면 좋겠다데뷔한 신인이 100만장팔고 멤버 많은 남돌들 수십종 포카판매를 음반판매라고 500만장 언플하는것도 웃김비정상적인 음반판매로 둔갑시키지말고 1종으로 빨리 규정좀 정하자제베원 라이즈 에이티즈 아이브 스테이씨 시은 스키즈 세븐틴 있지 더보이즈 에스파 아이들 미연  비비지  블랙핑크 제니 로제 트레저 소미 뉴진스 르세라핌 카즈하 사쿠라 투바투 방탄 정국 뷔 진 지민  엔하이픈 권은비 최예나 이채연  
제주위, 가출해서 이혼해달라고 어느날 사람이 싹 바뀐 얼굴로 요구한다? 이건 그전부터 어떤 문제가 있었다고 봄.쓰니와의 문제는 없었는지 생각해봐야하고.제주위에 어떤남자분 가정에 엄청 충실하고 아이들한테도 처갓집에서도 엄청 칭찬받는 모범적인 남잔데 뒤에서는 여러여자와 바람을 피고 완전 다른사람으로 지내는데 부인은 모르는 눈치고 부인한테도 잘하고 하는데 어느날 불륜상대가 이혼하고 자기랑 사업도같이하고 같이살자 제안했다는데 거절했대요 그래도 이분은 가정을 지키고자 하는 마음이 엄청 강해서 애들과가정이 안깨진건데 님같은 경우는 남편분이 불륜상대에게 넘어간 케이스.자기 잘못이 적나라하게 파헤쳐질까 겁나서 숨어서 방어적 포복자세로 법원에서 보자고만 하는거죠.도장만 찍으면 깔끔하니까.자기 변명 구질구질한 불륜 안들켜도 되니까요.자기의 드러운불륜을 비난받기싫고 비판받기싫고 조리돌림당하는게 싫어서 법원에서만 보자는거임.완전 미성숙 그자체.
죽짱,착짱죽짱
준킬러,나 킬러 시간만 있으면 무조건 푸는데 앞에 준킬러 4점때문에 못풀어...글고 계산 실수 지림 ㅠㅠ 지금 현우진 풀커리 탔고 드릴 1회독 뉴런 / 시냅스 2회독함ㅠㅠㅠㅠ6모 2등급 나왔는데 방금 보고온 9모 장렬히 전사함...
지지안,저런사람이 후보라는데 민주당 국힘당이 무슨 상관이냐 이 나라좀먹는 무지성 국힘 지지자들아. 나도 굳이 민주당 지지안하지만 저런자가 후보라는데 민주당이 왜나오냐. 쌍팔년도에도 친구들한테 자리 하나씩 주는건 안했을듯.
지팔지꼰, 나라면 이 결혼 안해요.쓰니와 남자친구 금전감각이 이렇게 다른데 결혼하면 수렁에 빠질 것 같고 4억이 동네 개 이름인가요.남친 아프거나 사고나면 쓰니가 다 감당할 수 있어요?나는 이걸 보고 지팔지꼰이라고 합니다.
짱바투, 짱바투 
짱바투,짱바투 
쫄아,예전에 여친이 비슷한 경우가 있어서 떼인돈 받아드리는 사람인척 연락해서받아준적 있음 여친도 포기한상태라 아님 말고라서 그냥 함 해보자 들이대봄쫄아서 바로 입금해주던데 XX 캐피탈입니다 XXX씨한테 X월 X일 xxx빌린거 있으시죠?
쫄아,"예전에 어떤놈이 돈을 안줘서 (지인아님-물건값)이름,연락처,주민번호 알고있고 오늘까지 연락없으면 내일 경찰에 접수하러 간다.했더니 바로 입금 하던데용 전화해서 무슨 그깟걸로 경찰 얘기하냐고 난리 피더만 쫄아서 입금함 그래도 입금 안하면 경고했으니 접수하면되고 소액은 변호사 없이도 전자소송걸면끝협박이 최고"
차쥐뿔, 차쥐뿔 출연하는 날까지 오늘부터 기도한다
착짱,착짱죽짱
찰프, 남의 콘에서 신곡 공개는 안 하지 않을까찰프가 참여했으면 할 수도
찰프, 정국 올거같았어 찰프가 은근 티나게 말해서 ㅋㅋ 드디어 듀엣을 보는구나 그리고 디지털싱글을 왜 남의 콘에서 공개하겠어. 정국체급이 최고 잘나가는 팝스타인데. 무엇보다 남의 잔치에서 자기걸 왜 공개해 그냥 우정과 축하해주러가는거지
찰프,정국 올거같았어 찰프가 은근 티나게 말해서 ㅋㅋ 드디어 듀엣을 보는구나 그리고 디지털싱글을 왜 남의 콘에서 공개하겠어. 정국체급이 최고 잘나가는 팝스타인데. 무엇보다 남의 잔치에서 자기걸 왜 공개해 그냥 우정과 축하해주러가는거지
찰프,남의 콘에서 신곡 공개는 안 하지 않을까찰프가 참여했으면 할 수도
채영아, 채영아 여기서 뭐하냐 ㅋㅋ
채영아,채영아 여기서 뭐하냐 ㅋㅋ
청약홈,딴 얘기해서 죄송한데요.공인인증서 가지고 다른 정보가 다 나왔다는게 청약홈 말고 다른 금융권이나 카드사 등도 로그인 해봤다 맞나요?이혼도 생각중이라고 하시니 남편 동의없이 확인한거면 문제되지 않나 싶네요
최애의아,백현 팬들아 너희는 아직도 백현을 믿어?연예인을 믿어?진짜로 궁금해서.. 나는 애초에 연예인들을 안 믿음ㅋㅋ 얼굴에 분칠하는 사람들은 믿지마래최애의아이에도 아이돌은 그냥 거짓자체라던데 공감가더라
추반용,추반용 
