단어,포함된 문장
뉴진스,와..그 음들 이제는 뉴진스 르세라핌에. 이어서 아일릿까지 까겠네베플 좋아요보면 댓글쓴다음 계정여러개로 누른거임릇 까는 거 좋아요 수 보면 음들 계정 200개있는것같던데
뉴진스,뉴진스는 초고속 뒷방 늙은이신세 ㅋㅋㅋㄱ
늦둥,"추가 조금 할게요회사 집만 왔다갔다 하던 사람이고 취미로 하는 운동도 첫째 둘째 데리고 다녔었어요 홀시어머니 계시는데 지금 상황들 의심되는 정황들 말씀드렸더니 니가 직접본게 뭐가 있는데 사람잡냐고 화내고 전화끊어버리네요애들 시댁에 데려다놓으면 다시 집앞에다 두고 갈 사람이고,그렇게 까지 하지 못하는 제일 큰 이유는 아이들에게 여기서 더 큰 상처주고싶지않아요.. 첫째둘째 초딩고학년이고 막내 늦둥이본거라 큰 아이들은 대충 무슨상황인지 눈치껏 알고 있어요통장내역은.. 공인인증서도 없고 그저 은행고객센터로 입출금기록만 확인하는거에요... 남편한테 생활비 받아 생활했고 그사람은 월급통장하나 공과금통장하나 달장 두개로 현금이나 체크카드만 사용했어요 제 앞에서는요...내일 변호사 만나러 갑니다.. 아 그리고 사람아닌 개같은 인간은 셋째 낳고 수술했어요 아쉽게도 사생아로 빌빌기는 모습은 당장 볼일없겠어요아이들만 보고 버텨보겠습니다. 조언감사합니다....안녕하세요 아들만 셋 키우는 주부입니다...지금 제가 할 수 있는게 뭔지 어떻게 행동해야하는지 조언받고싶어서요..남편이 하루아침에 사라졌어요 전날까지 아무렇지도 않게 대화하고 사이좋았는데 연락도 없이 집에 안들어왔어요회사에 연락해보니 이미 퇴직금 월급 정산받아서 퇴사했다고 몰랐냐고 하더라구요 바로 가출신고부터 했는데 이 사람이 누구랑 연락하고 지내는지 누굴 만나고 다니는지 아는게 아무것도 없어서  통장입출금 내역부터 조회하니 여기저기 모르는 이름으로 백단위로 주고받고 현금이 생기면 다 뽑아가네요그러던 중 회사 사람한테 연락이 왔어요 퇴사 이틀전에 집에 일이 생겼다며 급하게 백만원을 빌려갔대요 언제 줄수있냐는데그때 핸드폰이 두개인걸 알았어요 퇴근하고 집에 오면 핸드폰 쳐다도 안보고 손도 안댓었는데 세컨폰이 있었네요애들 다 데려가라 이혼하자 하니 아무 연락없다가그냥 내가 다 데려가겠다 하니까 바로 연락왔어요언제 몇시에 법원에서 볼꺼냐고.. 애들문제고 집문제고 상의를 해야하니 집으로 오라고 했더니 서류야 법원에서 쓰면되고 상의할게 뭐가 있냐 집에 오라는게 이상하답니다 그 말에 뭔가 쎄해서 통장내역 다시 보니 돈이 20,30씩 들어와요 그와중에  어제 강남가서 일본식 파스타 먹었네요 ㅋ 여자 옷가게에서 옷도 사고..  그동안 도박만 의심중이였는데 외도까지 하는 모양이에요변호사상담신청은 해뒀는데 도박이던 외도던심증만 있고 물증이 없는상태라 소송해봐야 이혼소송일테고협의이혼을 하자니 쓰레기에게 날개를 달아주는 꼴이라 싫고지금 판단이 안서는 상황이에요 폰도 남의 명의 차도 없어 집도 전세 재산나눌것도 당연없고그저 양육비랑 집 문제로 얘기하려는건데 뭐가 이상한걸까요이혼하게 되면 친정부모님께 도움받을수있는 여건이라 부모님은 돈 걱정 집 걱정은 하지 말라시는데 지금 행동이 괘씸해서라도 뜻대로 해주지말아라 애들 데리고 이혼해준다하니 마음 급한거다 하시네요벌써 집나간지 2주째고 막내가 겨우 6개월인데 그동안 나한테 애들한테 뻔뻔하게 행동하던 모습들이 생각나서 화가 치밀었다가 그 감정마저도 아까워 차분해졌다가 왔다갔다합니다  제가 지금 당장 뭘 해야할까요"
니부모,ㅋㅋㅋ 압구정대치목동잠실 복도식 아파트 빼고는 걍 못사는 거지동네 맞아;; 그리고 니네부모님이 가정교육을 그렇게 잘시키셨으면 고기 집에서 구워먹지 말고 나가서 사먹으라하지 니 식사시간의 고기구움은 되는거고 남의 식사시간 고기구움은 안되냐? 니논리대로면 니부모도 가정교육 똥망으로 시켰는데?? 돈도없는게 어디 복도식 아파트 사서 으스대고 있어ㅋㅋㅋㅋ
님친, 살다살다 님친도 아니고 남편의 잠수 이별은 처음보네요. 진짜 뭐 저딴 쓰레기가 결혼을 한거지
다른걸,질문: 1종이든 여러종이든 어짜피 사재기 할 사람은 사재기 하지않아?? 그리고 포카... 앨점사니까 딸려 나와서 가지고 있긴한데 난 이름검색하면 나오는 사진들이랑 다른걸 모르겠다...포카 왜 좋은거야??
댓보,"여기 베댓보면 간헐적단식 이야기가 많이 나오는데, 살을 덜찌게 할 수는 있어도 살을 빼는건 어려움. 그리고 사바사인데 간헐적단식 자주하거나, 공복시간이 긴 생활패턴이면 나처럼 담낭결석 걸릴 수도 있음. 나도 알고싶지 않았음… 무작정 굶는다고 살안빠짐;; 잘 찾아보고 알아본 후에 자신의 체질에 맞는 다이어트 했으면 좋겠다 모두"
댓보,지나가다 쓰니 답댓보고 내가 다 감동먹고 감.. 말하는거 짱예뿜 ♥️♥️ 항상 행복한일만 가득해
덕몰,윤상 아들 ㄹㅇ 덕몰이상이노
덕몰,케이팝계에서 덕몰이상이 무슨 뜻인 줄 앎? 안잘생겼는데 팬들이 콩깍지 씌어서 토끼상이니 햄스터니 빨아줄때 쓰는 말임 덕몰이 인터넷에 쳐보고 쭉 보면 차은우나 로운처럼 객관적 존잘은 없고 팬들만 염불외듯 외치는 덕몰이.. 좋은 말 아니니까 엔간하면 걍 안쓰는 게 낫다
덕몰,라이즈 둘이나 터지고 앤톤 영업에 사활을 건 느낌인데 문제는 글에서 올려치는 정도로 전혀 덕몰이 상이나 존잘로 보이지 않음 앤톤 글 거의 스팸처럼 올리던데 인위적이라고 느껴서 거부감 들어
도망챠, 그런 애들은 나중에 뭔일 생기고 앞으로 그러지말라거나 왜그랬냐 물어보면 왜 피해잔 난데 내 탓 하냐고 화냄.. 아니 지도 어느정도 그럴 상황의 여지를 안만드는 노력을 해야하는거 아님? 피해자라고 무조건 면죄부가 생기는 것도 아니고 진짜 개답답햐 외국 나가서 폰도 지갑도 그냥 두고 다니다가 뺏기면 지 잘못인거랑 똑같은데 진짜... 나도 그런 친구 있었는데 결국 내가 속터져서 손절쳤어 너도 도망챠..
도재정, 토즈 이탈리아 브랜드라 김정우 밀라노 패션 위크 갈 거 생각하면 개같이 설렌다....도재정 밀라노 전원 참석이라니 생각만 해도 뽕참
뒷광고,정국 악개들은 왜 주제파악 못하고 여기서 지민이 욕 하고있음? 역겨운 입건망구들아 고의로 사람치고 지형이랑 뒷광고한 느그새끼나 욕해 아무리 생각해도 일은 정국이가 더 크게 저질러놓고 지민이한테 이미지 떠넘기고 있어 훈장회수 청원까지 당하는 찐 범죄자 주제에 ㅋㅋㅋㅋ
뒷광고,전정국악개줌냐 뷔까는척 지민이랑 개정국 쳐엮는거봐ㅋㅋㅋㅋㅋㅋㅋ커플문신-입건송치-뒷광고-클럽충 개입건 개같이 패줄게
