,2016-10-26,2016-11-26,2016-12-26,2017-01-26,2017-02-26,2017-03-26,2017-04-26,2017-05-26,2017-06-26,2017-07-26,2017-08-26,2017-09-26,2017-10-26,2017-11-26,2017-12-26,2018-01-26,2018-02-26,2018-03-26,2018-04-26,2018-05-26,2018-06-26,2018-07-26,2018-08-26,2018-09-26,2018-10-26,2018-11-26,2018-12-26,2019-01-26,2019-02-26,2019-03-26,2019-04-26,2019-05-26,2019-06-26,2019-07-26,2019-08-26,2019-09-26,2019-10-26,2019-11-26,2019-12-26,2020-01-26,2020-02-26,2020-03-26,2020-04-26,2020-05-26,2020-06-26,2020-07-26,2020-08-26,2020-09-26,2020-10-26,2020-11-26,2020-12-26,2021-01-26,2021-02-26,2021-03-26,2021-04-26,2021-05-26,2021-06-26,2021-07-26,2021-08-26,2021-09-26,2021-10-26,2021-11-26,2021-12-26,2022-01-26,2022-02-26,2022-03-26,2022-04-26,2022-05-26,2022-06-26,2022-07-26,2022-08-26,2022-09-26,2022-10-26,2022-11-26,2022-12-26,2023-01-26,2023-02-26,2023-03-26,2023-04-26,2023-05-26,2023-06-26,2023-07-26,2023-08-26,2023-09-26
서클차트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6916481379407795,3.5191168234227135,3.928095096151205,4.165873597721037,4.337073368879697,4.156361457696085,11.175577074255095,31.248817427565474,5.730455013093097,4.199162962926621,5.017119508383605,5.145520899193471,4.4702308297020386,5.739964028236306,4.47498377483277
성한빈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007360071245489657,0.0004968048090705518,0.0009016087275724828,0.0004048039185019311,0.0012328119336195175,0.0008280080151175863,0.0008280080151175863,0.0004048039185019311,0.0004048039185019311,0.0004048039185019311,0.33250961869310897,0.9654205452708783,23.320735344718134,20.412219190281757,21.345715426525327,8.009965536466392,4.761358889954055,8.341739148034952,7.367486517269486,5.136207318486842
세법상,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,7.407407407407408,7.407407407407408,12.121212121212121,7.407407407407408,7.407407407407408,7.407407407407408,10.437710437710438,7.407407407407408,7.407407407407408,9.090909090909092,7.407407407407408
셩셩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022606068701897884,0.11097524635477142,0.022606068701897884,0.027743811588692855,0.05548762317738571,0.059597817486821685,0.06884575468305265,0.027743811588692855,0.15721493233592618,0.4038265909020849,0.14385680083025926,0.385330716509623,0.2692177272680566,0.6083087577965248,0.38944091081905896,0.4315704024907777,0.7192840041512963,1.4118517452912587,1.1652400867250998,2.693204821257925,3.0322958517863934,4.244803173070006,3.0230479145901623,8.076531818041698,3.1350507095222926,4.519158643224858,5.837503467976449,4.9414811085194055,4.959976982911867,5.024712543285484,12.107604887021035,8.572837780906092,6.069729446459581,5.033960480481714,12.247351493541858
쇼장,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1141868512110733,3.1141868512110733,2.537485582468282,2.537485582468282,2.537485582468282,2.537485582468282,72.89504036908883,2.537485582468282,2.537485582468282,2.537485582468282,3.1141868512110733
스맨파,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006347311042067691,0.03543000578619066,0.1341975232831056,0.10149240585881988,0.7122322240261153,0.18730056093312056,1.2033933512594825,0.523643475348445,2.44618781338234,1.9794699678882883,6.097538218334972,14.093468061628705,32.285407131575234,25.670366122328243,11.75157502744421,0.5526551421968786,0.4069704710563584,0.17732114158875065,0.12583560283602763,0.12014368555873091,0.12113484755767027,0.15680053681592143,0.13018444717665079,0.4110578035992159,0.5698471214944424
스우파,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010203878057746001,0.013655603704176632,1.4367306605811212,28.29919262342656,35.185786406020696,9.20293743611801,4.665987135302404,2.7379819691845007,1.081065694431783,0.8022253743213501,0.5764452201111965,0.7915429695684822,0.7479864845764692,0.7043033307533945,0.8076439854278772,1.306592510979813,0.8127318501421877,0.4621266000780352,0.23757794839209234,0.21323642135640722,0.20043935084053752,0.1860026226781472,0.21057285732547143,0.24696551620521867,0.49874092941214043,0.3599646692481541,2.762668316926965,5.448793474106272
쓰니님,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.556701030927837,18.556701030927837,44.329896907216494,18.556701030927837
앤톤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791597858545116,0.003044607148250447,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.006089214296500894,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.0025574700045303753,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.002192117146740322,0.004871371437200715,0.00572386143871084,0.07489733584696098,0.08062119728567184,0.07489733584696098,0.0735577087017308,0.07270521870022066,51.5327770227152,48.03403627223172
야망녀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9069412662090013,1.525553012967201,2.326468344774981,1.525553012967201,0.6864988558352405,1.220442410373761,0.6864988558352405,1.525553012967201,0.8009153318077805,0.6864988558352405,0.6864988558352405,0.6864988558352405,0.6864988558352405,0.8009153318077805,2.0594965675057213,0.6864988558352405,4.996186117467583,1.639969488939741,2.6315789473684217,0.6864988558352405,0.6864988558352405,1.372997711670481,0.6864988558352405,0.8009153318077805,55.53012967200611,0.6864988558352405,1.372997711670481,1.1060259344012207,0.6864988558352405,1.525553012967201,0.6864988558352405,0.6864988558352405,0.6864988558352405,0.9534706331045006,0.6864988558352405,0.8009153318077805,0.6864988558352405,1.9069412662090013
엄마아버지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.925925925925924,22.22222222222222,25.925925925925924,25.925925925925924
업보빔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13799435853935146,3.3578658293337247,0.11499467780755851,0.3679846456173201,0.11499467780755851,0.11499467780755851,0.16099310780829287,0.5289786848884646,2.851885893714202,2.1619131695545923,3.1508742915246977,0.942961760506519,0.7589689719664331,5.197791851808881,5.358785891080024,3.656853295681369,5.864765826699548,4.185832912032685,4.668813166920415,7.796688709176171,9.314628516034741,8.463661752603988,8.555658612605455,7.083717235747621,7.911684318446582,7.175713164286239
여러모,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71432962394835,8.928559805425436,8.928559805425436,8.928559805425436,17.857191932648156,8.928559805425436,8.928559805425436,8.928559805425436,8.928559805425436,8.928559805425436
여리해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.230715310456986,38.4615863907049,19.230715310456986,23.076982988381133
영앤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423893389243221,0.6681513070370566,0.6681513070370566,0.445434204691371,0.37119316612021697,0.37119316612021697,0.445434204691371,0.37119316612021697,0.37119316612021697,0.37119316612021697,0.7423893389243221,0.37119316612021697,0.37119316612021697,0.445434204691371,0.37119316612021697,0.7423893389243221,0.816627370811588,0.37119316612021697,0.7423893389243221,0.37119316612021697,0.37119316612021697,0.37119316612021697,2.1529329915695894,1.0393474798411617,0.9651064412700078,0.37119316612021697,0.5196722365786368,0.7423893389243221,0.445434204691371,0.37119316612021697,3.414997573756437,3.1922804714107507,6.458801981392657,9.725320484690673,5.939126738130131,6.829995147512874,2.00445392111117,5.5679305653260265,7.349670390775399,10.690429932644568,6.533040013279923,6.384560942821501,6.384560942821501,2.00445392111117
오해해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4875575777804397,46.766189253370044,5.721393510990063,4.7263624201723955,22.139305763162938,6.965177337196216,1.2437737515742873,8.706466634179339,1.2437737515742873
욕함,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3173464987717965,0.3173464987717965,0.3173464987717965,0.3173464987717965,0.38081579852615577,0.6351774960150002,0.3173464987717965,0.3173464987717965,0.3173464987717965,0.3173464987717965,1.0799470927669226,1.3977780900101262,8.3231992403064,9.530569431053447,8.19626064079768,6.480651553544349,1.143416392521282,4.511165267273583,2.922494779528971,2.2233634852882043,4.383742169293457,3.4307336760352527,5.972412657038069,6.735013251033194,7.560598646311273,7.370190747048196,4.638103866782301,2.4142558830226895,0.6351774960150002,0.38081579852615577,0.38081579852615577,0.6351774960150002,3.685095373524098,1.3977780900101262,1.0164777930125632
우즈벡아내,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3294735465437974,0.8571342340620316,0.5935553968269937,0.9894266657277091,0.5935553968269937,0.3294735465437974,0.3294735465437974,0.3294735465437974,0.3294735465437974,0.39536825585255686,0.39536825585255686,0.3294735465437974,1.3189002122715063,81.73207513002887,0.7912395247532723,10.356535648534724
울플러,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9211107004550996,0.7207412699254397,30.741275254789553,66.6168727748299
