단어,포함된 문장
행복대,충남대 이름 행복대로 바뀔수도 있음
행복대,충대 의대 다니는 과외쌤 피셜지금 충대랑 한밭대랑 통합 추진하고 있는데충대 이사장? 총장?이 정치쪽으로 나갈 계획이라 무조건 진행시키는 쪽으로 가고 있대그래서 한밭대가 이름 결정권 자기들한테 달라고 하거 있나봄그래서 지금 유력한 후보가 충남통합대(충통대)랑 행복대임 ㅅㅂㅋㅋㅋ..
행복대, 미안한데 그거 이미 끝난얘기임.. 행복대는 옛날에 공주대랑 통합할때 이름 행복대 될거라해서 이번에도 그렇게 되는거 아니냐고 에타에서 떠돌던거엿고… 한밭대랑 통합 이미 1학기때 무산됨
행복대,충남대가 최선인것 같은데.대학이름 인지도 쌓는데 몇십년 걸리는데 행복대로 바꾸면 졸업한 사람들까지 듣보 졸업생 될 듯.
행복대, 충통대 시 발ㅋㅋㅋ 행복대가낫네
행복대,"베댓에 물건너 갔다니 다행인 부분인데 사실상 충대>한밭대였고,한밭대는 원래 이공계전문 시립대였다가 국립대로 올라간지 얼마 안되서합치게 되도 충남대로 그대로 이름쓰게 하는게 맞지 않았나 싶음어차피 충북대도 있는데 개뜬금없이 행복대라는 명칭쓰면 어이털릴듯암튼 무산됐다니 각자 좋은(?) 결론을 도출했네지금은 어떤진 모르겠는데, 수능볼때 충대 평균 2등급은 나와야 들어가는 국립대라일반 지방대랑 차원이 다름."
행복대,행복대 말고 행복딱대 어떰
행복대,사실 사람들이 익숙해져서 그렇지   충남대 보다 행복대가 괜찮은 이름이해
행복대,행복대 ㅅㅂ 네임드 지거국에서 갑자기 지잡같아짐
효진초,효진초이 영상보고 생각나는건데 스우파1 리더끼리 한팀 스우파2리더끼리 한팀 되어서 배틀하면 개재미있을듯 올스타전 제발
효진초,미나명 본인은 독무 안가져가고 다 팀원들이랑 게스트? 나눠준거 너무 의외였음 있어도 신비나 효진초이랑 같이 센터서는 파트고.. 이래서 방방봐 하라는거임 엠넷의 편집에서 미나명은 책임감없는 가벼운 리더처럼 보여졌는데 현실은 반대잖아 사실 눈물많은 지랄수 캐해랑 방송에서 갈수록 시들시들해지는거 보고 나만의 개그캐였는데 이제는 실력적으로도 빠져버린듯.. 미나명 진짜 자꾸 눈길가고 신경쓰임 ㄹㅇ
힌다,안녕하세요 먼저 방탈 죄송합니다... 너무 스트레스를 받아 조언을 꼭 받고싶어요 ㅠㅠ+) 잠시 동거한 이유는 집천장에서 물이 심각하게 떨어지고 누수돼서 어쩔수 없이 집구할동안 같이 산겁니다 ㅠ 저랑 남친 둘다 타지역에 근무중이라 친구도 없고 가족도 멀어서 선택지가 없었어요 ㅜ 지금은 같이 안살아요.+) 핸드폰은 무조건 들고갑니다 제가 몇번이나 들고가지말라고 수십번 싸웠는데 안먹혀요+) 처음엔 저도 화장실 들어가서 너무 안나오니까 딴여자랑 연락하는게 아닌가 싶었는데 그건 절대 아니고(확인 다 했음) 그냥 웹툰이랑 유튜브 봐요저는 20대 중후반으로 남자친구와 4년째 연애중입니다.남친은 다른건 다 좋은데 똥을.. 하루에 적어도 세번은 싸는데 세번다 최소 30 길면 한시간동안 싸요.. 몇달전에 제 자취방에 문제가 생겨 세달정도 같이 산적이 있는데 남친이 똥 싸러 들어가려고만해도 제가 스트레스 받는 지경이 됐어요하루 24시간중에 잠자는 시간 빼고 나머지 시간중 세시간이 똥싸는 시간인게 말이 되나요??한시간 내내 똥이 나오냐고 물으니까 나온대요... 이게 너무 이해가 안돼서 같이 항문외과 간적이 있는데 치질은 당연히 있고 아직까지는 수술정도는 아니라네요. (여기서 조금만 더 심해지면 수술해야힌다고 함) 의사선생님말이 제 남친이 다른사람보다 소화가 3배정도는 빠르대요...집에 있던 밖에 있던 어디 가다가도 똥 마려우면 화장실 들어가서 삼십분은 안나와요 제가 어떻게 해야할까요...하루에 세시간동안 똥을 싸는게 말이 되나요... 아무리 식이섬유 치질약 소화 영양제 등등 먹어도 똑같아요 ㅠ 너무 스트레스 받는데 비슷한 경험 있으세요? 그냥 똥싸러간다는 소리만 들어도 짜증나요지금은 같이 안살아도 그냥 한동안 연락이 없으면 똥싸는건줄 아는 지경까지 왔습니다 +) 참고로 남친 입도 짧아서 식탐도 별로 없어요... ㅠ 군것질도 딱히 안좋아하고 밥은 일반인보다 덜 먹는데도 이래요...
