단어,포함된 문장
생각함,"제곧내임.나는 여자인데 요즘 여자들이 좋아하는 음식 순위에떡볶이, 닭발, 곱창, 마라탕 얘들이 1~4위야나는 정말 저 4가지 음식 싫어함.차라리 남자들 순위인 돈까스, 제육 이런게 나음.내가 저거 싫어한다면 다른 여자사람들이 이상하게 생각함.-------------------------------------------------------추가로 나는 신맛 커피보다 고소한 커피가 좋고스테이크도 레어나 미디움보다미디움웰던이나 웰던이 좋음.그런데 꼭 저렇게 먹으면 촌스러운 사람처럼 생각함.그냥 취향인데 취향대로 존중해줬으면 좋겠어취향까지 유행대로 흘러가지 말길. "
생각함,"애초에 남 고기굽기 보면서 대놓고 촌스럽다고 할 정도의 그룹이면 걍 니 친구들 수준이 ㅈㄴ낮은거 아님..? 나도 핏물 떨어지는거 비위 상해서 회, 내장, 레어 절대 못 먹는데 아무리 친해도 살면서 웰던 먹는걸로 촌스럽다고 한 사람 정말 단 1도 없었음. 속으론 생각할 수 있어도 겉으로 그러는건 걍 너가 만만한거임. 물론 만만해도 그럼 안 되는거지만. 예를 들어 이재용 딸이 웰던으로 먹는다고 해서 촌스럽다고 할 사람 있을까? 그냥 그 사람 인식에 맞춰서 행동을 판단하고 보는거라 생각함"
생각함,이게 진짜인게 몇년전에 알바하다가 말섞게된 중년여성분이 강아지 키우냐고 물어보더니 자기 아들이 요새 강아지에 관심이 너무 많아졌다고 몇일만 데리고 있게 좀 주라고 함... 난감해하니까 계속 조름 이런식으로 몇번 더 조르셨는데 세상에는 별의별 사람이 많구나 생각함
생각함,뷔 진짜 잘하던데 그래도 이런 엔딩 감성은 정국이가 더 잘 어울렸다 생각함
생각함,뷔 ㅈㄴ잘생겼다고 생각함
생각함,조롱당할만한 실력은 아닌데 그렇다고 개잘한다고 영업하기엔 무리가 있음 애초에 비주얼멤이니까 비주얼멤 능력치는 한다고 생각함
생각함,진짜 말도 안 돼.....누가봐도 떨어질 실력이 아님 케이팝 미션 베베랑 붙고 방송 전에 유튜브로 평가해서 그렇지 츠바킬 케이팝 미션도 개잘했고 배틀도 잘했는데 하필 배틀 상대가 울플러.... 방송하고 공개되기만 했어도 츠바킬 탈락배틀은 안 갔음 걍 세상이 츠바킬을 억까함 난 츠바킬을 더 보고싶은데ㅜ 솔직히 모두가 생각하는 그 팀이 떨어지는 게 맞다고 생각함
생각함,뭔가 잘생긴 사막여우같이 생기지 않았나 볼때마다 동물 사막여우 닮았다고 생각함
서사맛집,첫화보고 이거보니까 와 서사맛집이네..미나명은 인정하기 싫겠지만 둘이 찰떡인듯
성잘,이런 부모 밑에서 커서 정서적으로도 안정되고 타인에게 친절한 사람으로 성잘할듯.나이 드니 돈 많은 부모보다 이런 부모 가진 사람들이 정말 부러움..
소름쫙,난 원밀... 미친거같음 소름쫙
슈취타, 뷔 춤도 잘 추고 얼굴도 잘생긴 올라운더맞음ㅋㅋ 슈취타에서 슈가가 그랬잖아 뷔 3옥타브 뚫었다고... 근데 재즈곡 커버할땐 동굴저음까지 다 가능
스맨파,"딥앤댑은 초등학교 때 췄던 부채춤 생각나는 동선임,, 국뽕 자극하는 한국무용 졸업작품 느낌인데 다들 극찬하니깐 당혹스러움,, 메가크루 미션은 원밀이 압살임,, 잼이 여건상 불리했던것 빼면 다른 팀들도 다 잘했는데 베베는 ㅜㅜ 카메라 보고 인상쓰는 것 좀 그만했으면 좋겠음,, 바다도 은근 자기복제 심함,, 춤은 안보이고 머리에 손 올리고 인상쓰는것 밖에 생각 안남.. k팝 미션에도 썼던 발 매다는거랑 이미 스맨파 스우파에서 자주 나오는 뒤로 넘어가는 테크닉을 베베가 또 보여주니깐 개진부했음"
스맨파,같이 춤 추는것도 아니고 중간에 5초 나와서 얼굴 비추고 나가던데진짜 퍼포 자체도 조회수용으로 아이돌 불렀다고 어그로 끌리기 딱 좋게 짜놓음…아니 진짜 왜..???차라리 아예 댄서로 참여 시키던가스우파1이나 스맨파는 아이돌도 다 춤 추고 퍼포 참여했는데ㅜ왜지..? 
스맨파, 너무 조회수용인거 같아서 좀 그럼.. 스맨파 원밀도 난 갠적으로 그랬음
스우파,스우파2 4화 과몰입하자!
스우파," 모니카도 스우파 1때 판정 때문에 힘들어했으면서 결국 본인도 저지 되니깐 씬에서의 인맥이랑 댄서들 이름값만 보는것 같음,, 경연이라는 이름으로 방송할거면 적어도 부끄럽지 않게 국뽕 다 빼고 정확하게 판정했으면 좋겠음,, 모니카는 울플로랑 마네퀸 참 좋아하는듯,,"
스우파,유튜브 스우파 공식채널 댓글 츠바킬 징징댓글로 뒤덮인거 진짜 소름이네그것도 그거고 잼리퍼블릭 메가 크루 미션 한국에서 찍어서 불리하다니 지원이 부족하니 어쩌고 저쩌고 공평하지않다는말도하곸ㅋㅋㅋㅋㅋㅋㅋㅋ근데 오히려 외국팬들이 뉴질랜드에서 촬영한거고 잼리랑 로얄패밀리 수장 패리스고블이 커스틴이랑 선긋는거에 대해서 불만재기하던데 왜 한국인들만 한국탓 한국이 잘못이오 하는거냐 팩트체크도 안하고 그리고 무슨 아카넨이랑 커스틴이 너무 유명해서 스우파 나와서 이런 취급받을애들이 아니다 하는데 오히려 얻어간게 더 많아 커스틴도 아무리 잼리퍼블릭에 댄서로서 유명했어도 인스타 팔로워 40만도 안됐었어 일본도 엔터산업 썩은거 모름? 츠바킬 댄서들 원래부터 틱톡에 kpop 댄스 올리고 그랫는데 다 한국방송나온이유가있음 라트리스도 중국방송도 나왔었고 저스트절크댄스학원에서 강사도 햇을껄
스우파,효진초이 영상보고 생각나는건데 스우파1 리더끼리 한팀 스우파2리더끼리 한팀 되어서 배틀하면 개재미있을듯 올스타전 제발
스우파,애들아 스우파2 메가크루 어땠음??
스우파,"딥앤댑은 초등학교 때 췄던 부채춤 생각나는 동선임,, 국뽕 자극하는 한국무용 졸업작품 느낌인데 다들 극찬하니깐 당혹스러움,, 메가크루 미션은 원밀이 압살임,, 잼이 여건상 불리했던것 빼면 다른 팀들도 다 잘했는데 베베는 ㅜㅜ 카메라 보고 인상쓰는 것 좀 그만했으면 좋겠음,, 바다도 은근 자기복제 심함,, 춤은 안보이고 머리에 손 올리고 인상쓰는것 밖에 생각 안남.. k팝 미션에도 썼던 발 매다는거랑 이미 스맨파 스우파에서 자주 나오는 뒤로 넘어가는 테크닉을 베베가 또 보여주니깐 개진부했음"
스우파,베베는 바다 원툴 팀인거 드러난듯 스우파1 웨이비 노제원툴처럼
스우파,뷔줌마들 글을 몇개나 처올리는거야? 이래도 조회수 스우파보다 안나오는거 애잔
스우파,너네 스우파에서 호감 비호감 누구임?
스우파, 놉 카프리 ㅈㄴ 조아 레이디바운스 팀 자체가 좋음 뭔가 스우파 나오려고 급조한 팀이 아니어서 더 호감임
스우파,같이 춤 추는것도 아니고 중간에 5초 나와서 얼굴 비추고 나가던데진짜 퍼포 자체도 조회수용으로 아이돌 불렀다고 어그로 끌리기 딱 좋게 짜놓음…아니 진짜 왜..???차라리 아예 댄서로 참여 시키던가스우파1이나 스맨파는 아이돌도 다 춤 추고 퍼포 참여했는데ㅜ왜지..? 
스우파,안무구성이 가독성 좋은데 유치하지 않고 변화가 많은데 난잡하지 않으면서 핵심포인트 싹다 뇌리에 박아짐 원밀 이정도면 스우파 메가크루 하려고 나온거 아니냐고ㅋㅋ
스우파,"스우파 딥앤댑 멤버 카이스트 뭐임,,???"
스우파,"스우파2 출연자 나무위키 한명씩 슥슥 보다가 개놀랐네간지난다,,,,,"
스우파,스우파 개미쳤다 ㄹㅇ
스우파,스우파2 바다 지대 간지 ;
스우파,갑자기 바다 악플 늘어난 이유:바다가 키가 커서 키작남들의 열등감 건드림╋스우파2에 일뽕 많은데 츠바킬이 베베한테 져서 떨어지니까 억지부리는 거
시즌룩,전부 발렌시아가 뉴 시즌룩이라고 하네발렌시아가 엠버 할 예정 막내인 줄 알았더니 남자미 뿜뿜 
십여,시간 십여년 흘러서 팬들 다 떠났다고 이제서야 응원해주는 분위기가 역겨워 ㅋㅋㅋ
쓰니님,엄마는... 강하답니다.앞으로 쓰니님 앞길 꽃길걸으시길.. 화이팅
아카넨,유튜브 스우파 공식채널 댓글 츠바킬 징징댓글로 뒤덮인거 진짜 소름이네그것도 그거고 잼리퍼블릭 메가 크루 미션 한국에서 찍어서 불리하다니 지원이 부족하니 어쩌고 저쩌고 공평하지않다는말도하곸ㅋㅋㅋㅋㅋㅋㅋㅋ근데 오히려 외국팬들이 뉴질랜드에서 촬영한거고 잼리랑 로얄패밀리 수장 패리스고블이 커스틴이랑 선긋는거에 대해서 불만재기하던데 왜 한국인들만 한국탓 한국이 잘못이오 하는거냐 팩트체크도 안하고 그리고 무슨 아카넨이랑 커스틴이 너무 유명해서 스우파 나와서 이런 취급받을애들이 아니다 하는데 오히려 얻어간게 더 많아 커스틴도 아무리 잼리퍼블릭에 댄서로서 유명했어도 인스타 팔로워 40만도 안됐었어 일본도 엔터산업 썩은거 모름? 츠바킬 댄서들 원래부터 틱톡에 kpop 댄스 올리고 그랫는데 다 한국방송나온이유가있음 라트리스도 중국방송도 나왔었고 저스트절크댄스학원에서 강사도 햇을껄
아카넨,나는 호감은바다 커스틴 츠바킬(레나 아카넨)비호감은 그 아줌마같이 생긴 욕심 개쩌는 팀ㅋㅋ싫음
억빠,억빠들 개짜증남ㅅㅂ 츠바킬 그냥 누가봐도 아쉽게 떨어진 크루로 사람들한테 아쉽지만 좋은 이미지러 남아있었는데 억빠들때문에 츠바킬 지금 떨어진게 낫다 이런말 나옴ㅅㅂ
얼굴합,근데 얼굴합 음색합 다 쩐다 이참에 듀엣 음원 가즈아!
엔시티곡,배기진스 듣고 완전 이수만이 픽했을 엔시티곡 같다고 생각했는ㄷ데
여쟈,저 여쟈 저렇게 키운 부모나 저여자 며느리로 들인 시부모나 데리고 사는 남편 등 주위 친인척들은요??  그밥에 그나물이죠?????? 와…………………
영상속,"+추가 댓글들이 다 진짜 제 얘기인 줄 아시는 것 같아서요..ㅠㅠ제 글 요점은 저런 가정으로 서로 얘기했을 때, 제가 저렇게 대답한게 정말 극단적이고 부정적인 사람이어서 그런가 하는 질문입니다..! -----------------------------------------일단 제목으로 어그로 끌어서 죄송합니다.제 일은 아니고, 얼마전에 남자친구랑 있는데 나온 얘기인데요.(2년 정도 교제/서로 결혼생각有)제 주변에 물어봐도 팔은 안으로 굽는다고 혹시나 제 편을 들어 준 것 아닐까 해서 객관적으로 제3자의 입장을 듣고 싶습니다.남자친구랑 함께 있는데 갑자기 저에게 어디서 영상을 하나 봤다면서 저에게 보여주더라고요.대충 '시댁에서 집을 해주면 비밀번호를 알려줘야 한다 vs 안된다' 에 대해 남녀가 토론하는 영상이었고요.그 영상속에 여자분이 약간 말을 세게 하기도 했고, 결정적으로, 영상 속 남자 한분이 좋은 환경에서 살고는 싶고 도리는 할 수 없는거냐 라는 질문에 여자분이  ""그럼 애 낳아주는거는요?"" 라고 한 질문에 이게 맞냐며 이해가 안된다고 하더라고요.저도 제 생각엔 여자분이 그렇게 말한건 잘못됐다고 생각해 그 부분은 동의했고,하지만 덧붙여 시댁에서 집을 해주면서 다짜고짜 비밀번호를 알려주라고 하는건 나도 기분이 나쁠 것 같다.혹시 시어머니 되실 분이 다른 이유가 있어 어쩔 수 없는 상황에서 비밀번호를 알려달라고 하신다면 알려 줄 순 있겠지만 내가 집을 해왔으니 비밀번호를 알려줘야 한다 라는 생각은 불편하다고 했습니다.도움 주신거에 감사함을 표하는건 여러 방법이 있다고 생각한다, 비밀번호를 알려주는건 상식에 벗어 나는 선인 것 같다 라고도 전했습니다.남자친구도 제 말을 듣고 고개를 끄덕이면서 그럴 수 있겠다 라며 얘기가 잘 끝나는 듯 했습니다.근데 제가  ""그런데 난 일단 처음부터 그렇게 말씀 하시는 예비시댁을 둔 남자와는 결혼할 생각이 없어질 것 같다."" 라고 말했고 그때부터 언쟁이 시작 됐습니다. 저렇게 말 한 이유는 저는 예비시댁에서 애초에 저런식의 생각을 하신거면 결혼 후 다른 부분에서도 문제가 있을 것 같단 선입견이 있었던 건 사실이고, 남자친구가 저런 말을 한 의도가 뭘까 싶어서 조금 더 단호하게 딱잘라 말한 것 같기도 합니다.남자친구는 저에게 너무 극단적인 것 아니냐며 예비시댁에서 저런 얘기를 꺼내면 이유를 물어보고 잘 조율해보면 되는거 아니냐, 그것만 듣고 그런 결혼은 안한다 라고 말하는건 부정적이고 극단적인 생각이랍니다.저도 자꾸 제가 부정적인 사람이라는 식으로 말하는 것 같아 약간 욱해서 저 - ""그건 너 생각이다. 너는 너고 나도 나만의 의견이 있으니 나는 내 생각과 의견을 말한 것 뿐이다. 그냥 그렇구나 하고 넘기면 되는거지 왜 굳이 나에게 부정적이다느니 그런말을 하느냐."" 남 - ""이런 얘기가 나오면 조율 할 생각은 안하고, 이래서 싫다. 그래서 결혼 못해. 이런식으로 말하는게 극단적이고 부정적인거다. 왜 그렇게 밖에 말을 못하는거냐""""그리고 너는 너고 나는 나다 라는 얘기를 왜 하는거냐. 너 말하는게 기분이 상한다.""(제가 좀 단호하고 세게 말하긴 했어요)뭐 대충 이렇게 다툰 것 같습니다.  저는 정말 궁금한게 조율? 해 볼 수 있죠.만약 실제로 그런일이 저에게 일어났을때 어른들 있는 자리에서 무작정 저 결혼 못합니다. 라고 얘기하며 자리 박차고 나오겠나요. 그치만 그냥 저에게 그런 얘기를 꺼내신 자체에 서운하고 찝찝하다 이겁니다.저도 제가 예민하고 피곤한 성격인건 알고 있습니다. 그치만 제가 그 자체가 싫어서 결혼 못하겠다는데 왜 제가 부정적인 사람인건지 모르겠더라구요..   물론 그 전부터 비슷한 부분으로 서로 서운함이 쌓였던 건 있어 서로 예민한 상황이었다고 생각합니다.설명하자면 너무 늘어지기에 생략 된 부분도 있지만, 저는 그냥 이 글만 읽었을때 제가 정말 부정적인거였나 궁금합니다..제가 잘못한 부분이 있으면 고치고 싶은 마음에 글 써봅니다..결혼하신 분들이나 아직 결혼을 안하셨더라도 조언 부탁드립니다..제가 정말 부정적이고 극단적인 사람인가요..?    "
욕함,"여자들 특, 허구헌 날 네이트 판에 남편 욕, 시모 욕함. 본인들 수준에 딱 맞는 사람들 만난거는 생각안함 ㅎ"
